number,new_filename,original_filename,position,location,view,head_visible,tail_visible,notes
01,lying_floor_3q_01.png,EVPwDmdU0AAo1B5.PNG,lying,floor,3q,yes,no,on jute rug holding toy
02,other_windowsill_3q_02.jpeg,IMG_0410.jpeg,other,windowsill,3q,yes,no,rotated face closeup by blinds
03,lying_bed_front_03.jpeg,IMG_0876.jpeg,lying,bed,front,yes,yes,loaf pose on floral bedding
04,lying_bed_3q_04.jpeg,IMG_0889.jpeg,lying,bed,3q,yes,yes,belly-up beside pink plush
05,lying_bed_front_05.jpeg,IMG_0892.jpeg,lying,bed,front,yes,yes,reclining near pink plush
06,lying_bed_3q_06.jpeg,IMG_1032.jpeg,lying,bed,3q,yes,no,belly up white fluffy cat
07,standing_floor_side_07.jpg,IMG_20210918_182844002.JPG,standing,floor,side,yes,no,white and grey cat indoors
08,lying_bed_side_08.jpeg,IMG_2143.jpeg,lying,bed,side,yes,no,relaxed on back fur lit
09,lying_bed_side_09.jpeg,IMG_2187.jpeg,lying,bed,side,yes,no,sleeping paws tucked floral blanket
10,other_closeup_3q_10.jpeg,IMG_2501.jpeg,other,closeup,3q,yes,no,extreme face close-up green eye
11,other_closeup_3q_11.jpeg,IMG_2502.jpeg,other,closeup,3q,yes,no,"extreme face closeup, eyes closed"
12,other_chair_front_12.jpeg,IMG_2540.jpeg,other,chair,front,yes,no,"tight face closeup, green eyes"
13,standing_unknown_3q_13.jpeg,IMG_2601.jpeg,standing,unknown,3q,yes,no,"hand petting head, profile"
14,lying_bed_side_14.jpeg,IMG_2614.jpeg,lying,bed,side,yes,yes,"sleeping on side, black tail"
15,lying_bed_3q_15.jpg,IMG_2622.JPG,lying,bed,3q,yes,yes,sprawled belly-up on green blanket
16,lying_bed_3q_16.jpeg,IMG_2785.jpeg,lying,bed,3q,yes,no,long-haired cat resting on bedding
17,lying_unknown_3q_17.jpeg,IMG_2844.jpeg,lying,unknown,3q,yes,no,fluffy cat resting on white surface
18,lying_bed_front_18.jpeg,IMG_3168.jpeg,lying,bed,front,yes,no,cat yawning belly-up on bed
19,lying_closeup_3q_19.jpeg,IMG_3248.jpeg,lying,closeup,3q,yes,no,face close-up against fluffy fur
20,lying_closeup_3q_20.jpeg,IMG_3254.jpeg,lying,closeup,3q,yes,no,blurry upside-down face close-up
21,lying_floor_side_21.jpeg,IMG_3333.jpeg,lying,floor,side,yes,no,white fluffy cat on rug
22,lying_couch_3q_22.jpeg,IMG_3400.jpeg,lying,couch,3q,yes,yes,relaxed by table corner
23,sitting_floor_front_23.jpeg,IMG_3401.jpeg,sitting,floor,front,yes,no,crouched gazing at camera
24,lying_floor_3q_24.jpeg,IMG_3474.jpeg,lying,floor,3q,yes,no,head resting near shoe
25,lying_couch_3q_25.jpeg,IMG_3536.jpeg,lying,couch,3q,yes,no,blurry close lying on surface
26,lying_shelf_front_26.jpeg,IMG_3592.jpeg,lying,shelf,front,yes,no,paws draped over white cabinet edge
27,other_closeup_front_27.jpg,IMG_3628.JPG,other,closeup,front,yes,no,face fills frame green eyes
28,lying_bed_side_28.jpeg,IMG_3663.jpeg,lying,bed,side,yes,no,rotated image looking up profile
29,lying_bed_3q_29.jpeg,IMG_3665.jpeg,lying,bed,3q,yes,no,rotated image belly-up relaxed
30,lying_windowsill_side_30.jpeg,IMG_3683.jpeg,lying,windowsill,side,yes,yes,resting on bag by window
31,sitting_floor_front_31.jpg,IMG_4527(1).jpg,sitting,floor,front,yes,no,looking up at camera on sisal mat
32,sitting_floor_3q_32.jpg,IMG_7033.JPG,sitting,floor,3q,yes,yes,"white cat on leash, head turned"
33,sitting_floor_side_33.jpg,IMG_7039.JPG,sitting,floor,side,yes,yes,white fluffy cat on leash
34,sitting_windowsill_back_34.jpeg,IMG_9532.jpeg,sitting,windowsill,back,yes,no,cat facing window back to camera
35,lying_windowsill_side_35.jpeg,IMG_9533.jpeg,lying,windowsill,side,yes,no,cat resting on cushion by window
